len_in_AAs,num_parts,sim,0
6,5,34,4.0
6,5,35,7.0
6,5,36,13.0
6,5,37,19.0
6,5,38,19.0
6,5,39,9.0
6,5,40,19.0
6,5,41,22.0
6,5,42,16.0
6,5,43,22.0
6,5,44,3.0
6,5,45,14.0
6,5,46,4.0
6,5,47,19.0
6,5,48,19.0
6,5,49,23.0
6,5,50,6.0
6,5,51,13.0
6,5,52,10.0
6,5,53,24.0
6,5,54,18.0
6,5,55,14.0
6,5,56,27.0
6,5,57,28.0
6,5,58,15.0
6,5,59,14.0
6,5,60,31.0
6,5,61,16.0
6,5,62,25.0
6,5,63,12.0
6,5,64,18.0
6,5,65,9.0
6,5,66,26.0
6,5,67,26.0
6,5,68,16.0
6,5,69,33.0
6,5,70,3.0
6,5,71,19.0
6,5,72,12.0
6,5,73,15.0
6,5,74,24.0
6,5,75,23.0
6,5,76,21.0
6,5,77,14.0
6,5,78,17.0
6,5,79,18.0
6,5,80,14.0
6,5,81,24.0
6,5,82,19.0
6,5,83,24.0
6,5,84,19.0
6,5,85,38.0
6,5,86,13.0
6,5,87,17.0
6,5,88,8.0
6,5,89,14.0
6,5,90,17.0
6,5,91,8.0
6,5,92,10.0
6,5,93,21.0
6,5,94,6.0
6,5,95,20.0
6,5,96,14.0
6,5,97,22.0
6,5,98,15.0
6,5,99,13.0
6,7,0,1.0
6,7,1,4.0
6,7,2,4.0
6,7,3,7.0
6,7,4,2.0
6,7,5,2.0
6,7,6,4.0
6,7,7,7.0
6,7,8,2.0
6,7,9,5.0
6,7,10,3.0
6,7,11,8.0
6,7,12,4.0
6,7,13,4.0
6,7,14,6.0
6,7,15,4.0
6,7,16,2.0
6,7,17,1.0
6,7,18,5.0
6,7,19,2.0
6,7,20,2.0
6,7,21,2.0
6,7,22,4.0
6,7,23,1.0
6,7,24,12.0
6,7,25,2.0
6,7,26,9.0
6,7,27,6.0
6,7,28,1.0
6,7,29,8.0
6,7,30,7.0
6,7,31,4.0
6,7,32,5.0
6,7,33,2.0
6,7,34,2.0
6,7,35,2.0
6,7,36,6.0
6,7,37,3.0
6,7,38,4.0
6,7,39,3.0
6,7,40,7.0
6,7,41,10.0
6,7,42,3.0
6,7,43,5.0
6,7,44,2.0
6,7,45,6.0
6,7,46,3.0
6,7,47,5.0
6,7,48,7.0
6,7,49,3.0
6,7,50,3.0
6,7,51,7.0
6,7,52,6.0
6,7,53,5.0
6,7,54,7.0
6,7,55,6.0
6,7,56,8.0
6,7,57,7.0
6,7,58,3.0
6,7,59,3.0
6,7,60,4.0
6,7,61,4.0
6,7,62,5.0
6,7,63,1.0
6,7,64,1.0
6,7,65,5.0
6,7,66,5.0
6,7,67,3.0
6,7,68,9.0
6,7,69,9.0
6,7,70,2.0
6,7,71,7.0
6,7,72,2.0
6,7,73,5.0
6,7,74,6.0
6,7,75,6.0
6,7,76,8.0
6,7,77,1.0
6,7,78,2.0
6,7,79,6.0
6,7,80,4.0
6,7,81,3.0
6,7,82,2.0
6,7,83,8.0
6,7,84,4.0
6,7,85,6.0
6,7,86,3.0
6,7,87,1.0
6,7,88,4.0
6,7,89,9.0
6,7,90,6.0
6,7,91,3.0
6,7,92,5.0
6,7,93,5.0
6,7,94,2.0
6,7,95,4.0
6,7,96,6.0
6,7,97,3.0
6,7,98,3.0
6,7,99,3.0
7,3,0,1710.0
7,3,1,851.0
7,3,2,979.0
7,3,3,565.0
7,3,4,987.0
7,3,5,1267.0
7,3,6,989.0
7,3,7,1182.0
7,3,8,1331.0
7,3,9,985.0
7,3,10,1246.0
7,3,11,982.0
7,3,12,544.0
7,3,13,304.0
7,3,14,1160.0
7,3,15,664.0
7,3,16,821.0
7,3,17,1017.0
7,3,18,395.0
7,3,19,1097.0
7,3,20,1407.0
7,3,21,964.0
7,3,22,644.0
7,3,23,1039.0
7,3,24,1661.0
7,3,25,1911.0
7,3,26,591.0
7,3,27,633.0
7,3,28,687.0
7,3,29,570.0
7,3,30,1187.0
7,3,31,618.0
7,3,32,1206.0
7,3,33,1268.0
7,3,34,1055.0
7,3,35,1584.0
7,3,36,726.0
7,3,37,1044.0
7,3,38,1346.0
7,3,39,1963.0
7,3,40,545.0
7,3,41,1605.0
7,3,42,838.0
7,3,43,135.0
7,3,44,750.0
7,3,45,1247.0
7,3,46,350.0
7,3,47,1290.0
7,3,48,846.0
7,3,49,553.0
7,3,50,338.0
7,3,51,1691.0
7,3,52,1090.0
7,3,53,1170.0
7,3,54,996.0
7,3,55,1017.0
7,3,56,1698.0
7,3,57,1628.0
7,3,58,926.0
7,3,59,1075.0
7,3,60,1565.0
7,3,61,1173.0
7,3,62,569.0
7,3,63,1324.0
7,3,64,990.0
7,3,65,783.0
7,3,66,1304.0
7,3,67,1303.0
7,3,68,1714.0
7,3,69,140.0
7,3,70,953.0
7,3,71,975.0
7,3,72,1689.0
7,3,73,1385.0
7,3,74,1115.0
7,3,75,852.0
7,3,76,947.0
7,3,77,1153.0
7,3,78,927.0
7,3,79,1588.0
7,3,80,1253.0
7,3,81,1716.0
7,3,82,330.0
7,3,83,1081.0
7,3,84,937.0
7,3,85,1503.0
7,3,86,1779.0
7,3,87,1586.0
7,3,88,1501.0
7,3,89,1080.0
7,3,90,1412.0
7,3,91,223.0
7,3,92,1043.0
7,3,93,975.0
7,3,94,1486.0
7,3,95,1221.0
7,3,96,1578.0
7,3,97,1007.0
7,3,98,726.0
7,3,99,956.0
7,5,0,34.0
7,5,1,51.0
7,5,2,44.0
7,5,3,24.0
7,5,4,26.0
7,5,5,25.0
7,5,6,40.0
7,5,7,38.0
7,5,8,63.0
7,5,9,68.0
7,5,10,30.0
7,5,11,34.0
7,5,12,48.0
7,5,13,52.0
7,5,14,49.0
7,5,15,10.0
7,5,16,5.0
7,5,17,36.0
