,num_barcodes,barcode_length_in_aa,num_oligos,is_capped
8468,3,1,8.0,False
8469,3,2,214.0,False
8470,3,3,15599.0,False
8471,3,4,254182.0,False
8472,5,1,5.0,False
8473,5,2,260.0,False
8474,5,3,8565.0,False
8475,5,4,292996.0,False
8476,1,1,16.0,False
8477,1,2,104.0,False
8478,1,3,14432.0,False
8479,1,4,385748.0,False
8480,1,5,10000000.0,True
8481,3,1,19.0,False
8482,3,2,501.0,False
8483,3,3,9217.0,False
8484,3,4,305788.0,False
8485,5,1,9.0,False
8486,5,2,168.0,False
8487,5,3,7154.0,False
8488,5,4,291077.0,False
8489,1,1,19.0,False
8490,1,2,681.0,False
8491,1,3,21761.0,False
8492,1,4,607270.0,False
8493,1,5,10000000.0,True
8494,3,1,13.0,False
8495,3,2,208.0,False
8496,3,3,8649.0,False
8497,3,4,352899.0,False
8498,5,1,8.0,False
8499,5,2,296.0,False
8500,5,3,8595.0,False
8501,5,4,453867.0,False
8502,1,1,16.0,False
8503,1,2,698.0,False
8504,1,3,15253.0,False
8505,1,4,552244.0,False
8506,1,5,10000000.0,True
8507,3,1,18.0,False
8508,3,2,297.0,False
8509,3,3,10742.0,False
8510,3,4,417443.0,False
8511,5,1,11.0,False
8512,5,2,273.0,False
8513,5,3,11699.0,False
8514,5,4,261170.0,False
8515,1,1,9.0,False
8516,1,2,602.0,False
8517,1,3,20736.0,False
8518,1,4,532575.0,False
8519,1,5,10000000.0,True
8520,3,1,12.0,False
8521,3,2,312.0,False
8522,3,3,17573.0,False
8523,3,4,420227.0,False
8524,5,1,11.0,False
8525,5,2,294.0,False
8526,5,3,10899.0,False
8527,5,4,330573.0,False
8528,1,1,7.0,False
8529,1,2,766.0,False
8530,1,3,17014.0,False
8531,1,4,329981.0,False
8532,1,5,10000000.0,True
8533,3,1,11.0,False
8534,3,2,485.0,False
8535,3,3,12145.0,False
8536,3,4,408536.0,False
8537,5,1,15.0,False
8538,5,2,277.0,False
8539,5,3,11471.0,False
8540,5,4,481857.0,False
8541,1,1,15.0,False
8542,1,2,110.0,False
8543,1,3,21868.0,False
8544,1,4,650835.0,False
8545,1,5,10000000.0,True
8546,3,1,16.0,False
8547,3,2,222.0,False
8548,3,3,10758.0,False
8549,3,4,478418.0,False
8550,5,1,11.0,False
8551,5,2,244.0,False
8552,5,3,7976.0,False
8553,5,4,241706.0,False
8554,1,1,28.0,False
8555,1,2,291.0,False
8556,1,3,11356.0,False
8557,1,4,378559.0,False
8558,1,5,10000000.0,True
8559,3,1,15.0,False
8560,3,2,403.0,False
8561,3,3,5993.0,False
8562,3,4,419305.0,False
8563,5,1,14.0,False
8564,5,2,214.0,False
8565,5,3,13704.0,False
8566,5,4,215639.0,False
8567,1,1,22.0,False
8568,1,2,420.0,False
8569,1,3,8683.0,False
8570,1,4,537994.0,False
8571,1,5,10000000.0,True
8572,3,1,18.0,False
8573,3,2,400.0,False
8574,3,3,7914.0,False
8575,3,4,303696.0,False
8576,5,1,8.0,False
8577,5,2,335.0,False
8578,5,3,11027.0,False
8579,5,4,239541.0,False
8580,1,1,20.0,False
8581,1,2,235.0,False
8582,1,3,17814.0,False
8583,1,4,242436.0,False
8584,1,5,10000000.0,True
8585,3,1,9.0,False
